,Unnamed: 0,MATNR,TYPE,VKORG,WAERS,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,RGITV,EXPRT
209,209,441,3,2002.0,3,30.73,17,128,201910,10,27000.0,-2.5,-1.3
210,210,441,4,2002.0,3,30.73,17,128,201910,10,39090.0,-2.5,-1.3
211,211,442,0,1002.0,3,30.73,17,260,201910,10,59400.0,-2.5,-1.3
212,212,442,3,2002.0,3,30.73,17,128,201910,10,91800.0,-2.5,-1.3
213,213,442,4,2002.0,3,30.73,17,128,201910,10,90804.0,-2.5,-1.3
214,214,443,0,1002.0,3,30.73,17,260,201910,10,10800.0,-2.5,-1.3
215,215,443,3,2002.0,3,30.73,17,128,201910,10,21600.0,-2.5,-1.3
216,216,443,4,2002.0,3,30.73,17,128,201910,10,31900.0,-2.5,-1.3
217,217,444,0,1002.0,3,30.73,17,260,201910,10,10000.0,-2.5,-1.3
218,218,444,3,2002.0,3,30.73,17,128,201910,10,15000.0,-2.5,-1.3
219,219,444,4,2002.0,3,30.73,17,128,201910,10,12000.0,-2.5,-1.3
220,220,446,0,1002.0,3,30.73,17,260,201910,10,10000.0,-2.5,-1.3
221,221,446,3,2002.0,3,30.73,17,128,201910,10,25000.0,-2.5,-1.3
222,222,446,4,2002.0,3,30.73,17,128,201910,10,14000.0,-2.5,-1.3
223,223,447,9,1002.0,3,30.73,33,115,201910,10,3282.0,-2.5,-1.3
224,224,447,26,1002.0,3,30.73,33,115,201910,10,43042.0,-2.5,-1.3
225,225,450,11,2002.0,3,30.73,30,125,201910,10,30000.0,-2.5,-1.3
226,226,454,11,2002.0,3,30.73,30,125,201910,10,10800.0,-2.5,-1.3
227,227,457,11,1002.0,3,30.73,31,120,201910,10,16000.0,-2.5,-1.3
228,228,458,11,1002.0,3,30.73,31,120,201910,12,442.0,-2.5,-1.3
229,229,461,0,1002.0,3,30.73,17,260,201910,10,6000.0,-2.5,-1.3
230,230,461,4,2002.0,3,30.73,17,124,201910,10,3000.0,-2.5,-1.3
231,231,462,0,1002.0,3,30.73,17,260,201910,10,500.0,-2.5,-1.3
232,232,463,11,1002.0,3,30.73,31,120,201910,10,20000.0,-2.5,-1.3
233,233,464,0,1002.0,3,30.73,32,260,201910,10,22000.0,-2.5,-1.3
234,234,464,3,2002.0,3,30.73,32,128,201910,10,38000.0,-2.5,-1.3
235,235,464,4,2002.0,3,30.73,32,128,201910,10,32000.0,-2.5,-1.3
236,236,465,3,2002.0,3,30.73,25,124,201910,10,12000.0,-2.5,-1.3
237,237,465,4,2002.0,3,30.73,25,124,201910,10,1000.0,-2.5,-1.3
238,238,467,0,1002.0,3,30.73,17,260,201910,12,20000.0,-2.5,-1.3
239,239,467,3,2002.0,3,30.73,17,124,201910,12,40000.0,-2.5,-1.3
240,240,467,4,2002.0,3,30.73,17,124,201910,12,46000.0,-2.5,-1.3
241,241,468,0,1002.0,3,30.73,17,260,201910,12,5120.0,-2.5,-1.3
242,242,470,0,1002.0,3,30.73,17,260,201910,12,40000.0,-2.5,-1.3
243,243,470,3,2002.0,3,30.73,17,124,201910,12,50000.0,-2.5,-1.3
244,244,470,4,2002.0,3,30.73,17,124,201910,12,10000.0,-2.5,-1.3
245,245,471,0,1002.0,3,30.73,17,260,201910,12,10000.0,-2.5,-1.3
246,246,471,3,2002.0,3,30.73,17,124,201910,12,10000.0,-2.5,-1.3
247,247,471,4,2002.0,3,30.73,17,124,201910,12,10000.0,-2.5,-1.3
248,248,472,0,1002.0,3,30.73,17,260,201910,12,10000.0,-2.5,-1.3
249,249,472,3,2002.0,3,30.73,17,124,201910,12,40000.0,-2.5,-1.3
250,250,472,4,2002.0,3,30.73,17,124,201910,12,14000.0,-2.5,-1.3
251,251,473,13,1002.0,1,0.28,34,114,201910,10,1800.0,-2.5,-1.3
252,252,474,0,1002.0,3,30.73,34,260,201910,10,2240.0,-2.5,-1.3
253,253,474,3,2002.0,3,30.73,34,124,201910,10,3559.0,-2.5,-1.3
254,254,474,4,2002.0,3,30.73,34,124,201910,10,4324.0,-2.5,-1.3
255,255,476,0,1002.0,3,30.73,32,260,201910,10,30000.0,-2.5,-1.3
256,256,476,3,2002.0,3,30.73,32,128,201910,10,30000.0,-2.5,-1.3
257,257,476,4,2002.0,3,30.73,32,128,201910,10,23452.0,-2.5,-1.3
258,258,478,0,1002.0,3,30.73,17,260,201910,12,12544.0,-2.5,-1.3
259,259,478,3,2002.0,3,30.73,17,128,201910,12,18130.0,-2.5,-1.3
260,260,478,4,2002.0,3,30.73,17,128,201910,12,12374.0,-2.5,-1.3
261,261,483,11,1002.0,3,30.73,30,119,201910,12,2400.0,-2.5,-1.3
262,262,484,11,1002.0,3,30.73,30,119,201910,12,1200.0,-2.5,-1.3
263,263,484,26,1002.0,3,30.73,30,119,201910,12,1200.0,-2.5,-1.3
264,264,487,26,1002.0,3,30.73,31,120,201910,12,6000.0,-2.5,-1.3
265,265,489,0,2002.0,3,30.73,26,118,201910,10,4477.0,-2.5,-1.3
266,266,489,15,2002.0,3,30.73,26,118,201910,10,1250.0,-2.5,-1.3
267,267,492,0,2002.0,3,30.73,26,118,201910,10,2500.0,-2.5,-1.3
268,268,493,0,2002.0,3,30.73,26,118,201910,10,2500.0,-2.5,-1.3
269,269,494,15,2002.0,3,30.73,27,118,201910,10,2000.0,-2.5,-1.3
270,270,495,15,2002.0,3,30.73,27,118,201910,10,4000.0,-2.5,-1.3
271,271,496,0,2002.0,3,30.73,27,118,201910,10,2000.0,-2.5,-1.3
272,272,497,0,2002.0,3,30.73,27,118,201910,10,2000.0,-2.5,-1.3
273,273,614,11,1003.0,3,30.73,38,107,201910,10,200.0,-2.5,-1.3
274,274,615,11,1003.0,3,30.73,38,107,201910,10,200.0,-2.5,-1.3
275,275,663,13,1003.0,3,30.73,38,108,201910,10,7.0,-2.5,-1.3
276,276,711,11,1003.0,3,30.73,38,106,201910,10,1.0,-2.5,-1.3
277,277,713,11,1003.0,2,1.0,38,112,201910,10,200.0,-2.5,-1.3
278,278,732,11,1003.0,3,30.73,38,106,201910,10,19.0,-2.5,-1.3
279,279,733,11,1003.0,3,30.73,38,106,201910,10,210.0,-2.5,-1.3
280,280,738,11,1003.0,3,30.73,38,109,201910,10,15.0,-2.5,-1.3
281,281,742,13,1003.0,3,30.73,38,108,201910,10,1.0,-2.5,-1.3
282,282,763,11,1003.0,3,30.73,38,105,201910,10,2.0,-2.5,-1.3
283,283,789,13,1003.0,3,30.73,38,108,201910,10,3.0,-2.5,-1.3
284,284,824,13,1003.0,3,30.73,38,108,201910,10,1.0,-2.5,-1.3
285,285,850,11,1003.0,3,30.73,38,105,201910,10,8.0,-2.5,-1.3
286,286,879,11,1003.0,3,30.73,38,106,201910,10,8.0,-2.5,-1.3
287,287,936,11,1003.0,2,1.0,38,112,201910,10,300.0,-2.5,-1.3
288,288,941,11,1003.0,3,30.73,38,105,201910,10,8.0,-2.5,-1.3
289,289,947,13,1003.0,3,30.73,38,108,201910,10,1.0,-2.5,-1.3
290,290,978,11,1003.0,3,30.73,38,106,201910,10,4.0,-2.5,-1.3
291,291,993,11,1003.0,3,30.73,38,106,201910,10,37.0,-2.5,-1.3
292,292,1002,11,1003.0,3,30.73,38,106,201910,10,4.0,-2.5,-1.3
293,293,1010,11,1003.0,3,30.73,38,106,201910,10,1.0,-2.5,-1.3
294,294,1052,11,1003.0,3,30.73,38,105,201910,10,4.0,-2.5,-1.3
295,295,1052,24,1003.0,3,30.73,38,105,201910,10,4.0,-2.5,-1.3
296,296,1190,11,1003.0,3,30.73,38,106,201910,10,50.0,-2.5,-1.3
297,297,1195,11,1003.0,3,30.73,38,106,201910,10,90.0,-2.5,-1.3
298,298,1196,11,1003.0,3,30.73,38,106,201910,10,50.0,-2.5,-1.3
299,299,1198,11,1003.0,3,30.73,38,106,201910,10,32.0,-2.5,-1.3
300,300,1199,11,1003.0,3,30.73,38,106,201910,10,9.0,-2.5,-1.3
301,301,1200,11,1003.0,3,30.73,38,106,201910,10,20.0,-2.5,-1.3
302,302,1201,11,1003.0,3,30.73,38,106,201910,10,6.0,-2.5,-1.3
303,303,1207,11,1003.0,3,30.73,38,106,201910,10,25.0,-2.5,-1.3
304,304,1208,11,1003.0,3,30.73,38,106,201910,10,5.0,-2.5,-1.3
305,305,1210,11,1003.0,3,30.73,38,106,201910,10,6.0,-2.5,-1.3
306,306,1211,11,1003.0,3,30.73,38,106,201910,10,10.0,-2.5,-1.3
307,307,1219,11,1003.0,3,30.73,38,106,201910,10,121.0,-2.5,-1.3
308,308,1222,11,1003.0,3,30.73,38,106,201910,10,35.0,-2.5,-1.3
309,309,1224,11,1003.0,3,30.73,38,106,201910,10,107.0,-2.5,-1.3
310,310,1226,11,1003.0,3,30.73,38,106,201910,10,5.0,-2.5,-1.3
311,311,1227,11,1003.0,3,30.73,38,106,201910,10,5.0,-2.5,-1.3
312,312,1234,11,1003.0,3,30.73,38,106,201910,10,65.0,-2.5,-1.3
313,313,1248,11,1003.0,3,30.73,38,106,201910,10,365.0,-2.5,-1.3
314,314,1250,11,1003.0,3,30.73,38,106,201910,10,2.0,-2.5,-1.3
315,315,1251,11,1003.0,3,30.73,38,106,201910,10,8.0,-2.5,-1.3
316,316,1254,11,1003.0,3,30.73,38,106,201910,10,60.0,-2.5,-1.3
317,317,1257,11,1003.0,3,30.73,38,106,201910,10,46.0,-2.5,-1.3
