VBELN,VKORG,KUNNR,CTLPC,WAERS,AMTBL
500000410,1001.00 ,100034.00 ,R01,USD,0.00 
500000411,1005.00 ,100023.00 ,R01,USD,0.00 
500000412,1005.00 ,100023.00 ,R01,USD,0.00 
500000413,2002.00 ,1002.00 ,,USD,0.00 
500000414,1005.00 ,100020.00 ,R01,USD,0.00 
500000415,1003.00 ,100179.00 ,R01,USD,0.00 
500000416,1005.00 ,100014.00 ,R01,TWD,0.00 
500000417,1005.00 ,100013.00 ,R01,TWD,0.00 
500000418,1004.00 ,100271.00 ,R01,EUR,0.00 
500000419,1005.00 ,100020.00 ,R01,USD,93435.00 
500000420,2002.00 ,1002.00 ,,USD,0.00 
500000421,2002.00 ,1002.00 ,,USD,0.00 
500000422,1005.00 ,100012.00 ,R01,TWD,0.00 
500000423,1005.00 ,100011.00 ,R01,TWD,0.00 
500000424,1005.00 ,100008.00 ,R01,TWD,0.00 
500000425,1004.00 ,100255.00 ,R01,USD,0.00 
500000426,1004.00 ,100255.00 ,R01,USD,0.00 
500000427,1005.00 ,100008.00 ,R01,TWD,0.00 
500000428,1005.00 ,100007.00 ,R01,TWD,19748.00 
500000429,1002.00 ,2902.00 ,R99,USD,0.00 
500000430,1002.00 ,2902.00 ,R99,USD,0.00 
500000431,2002.00 ,100207.00 ,R01,USD,0.00 
500000432,1005.00 ,100011.00 ,R01,TWD,0.00 
500000433,1001.00 ,100034.00 ,R01,USD,0.00 
500000434,1005.00 ,100019.00 ,R01,USD,0.00 
500000435,1001.00 ,1007.00 ,,TWD,0.00 
500000436,1001.00 ,1007.00 ,,TWD,0.00 
500000437,1005.00 ,100014.00 ,R01,TWD,0.00 
500000438,1005.00 ,100024.00 ,R01,TWD,87780.00 
500000439,1005.00 ,100022.00 ,R01,USD,335652.00 
500000440,1005.00 ,100014.00 ,R01,TWD,0.00 
500000441,1005.00 ,100012.00 ,R01,TWD,0.00 
500000442,1006.00 ,1002.00 ,,TWD,0.00 
500000443,1004.00 ,100255.00 ,R01,USD,0.00 
500000444,1002.00 ,100201.00 ,R01,USD,0.00 
500000445,2002.00 ,100207.00 ,R01,USD,0.00 
500000446,2002.00 ,100213.00 ,R01,USD,0.00 
500000447,1002.00 ,2002.00 ,,USD,0.00 
500000448,2002.00 ,1002.00 ,,USD,0.00 
500000449,1002.00 ,2902.00 ,R99,USD,0.00 
500000450,1002.00 ,100201.00 ,R01,USD,0.00 
500000451,1006.00 ,1002.00 ,,TWD,0.00 
500000452,1007.00 ,100042.00 ,R01,TWD,0.00 
500000453,1002.00 ,100198.00 ,R01,USD,0.00 
500000454,1002.00 ,100198.00 ,R01,USD,0.00 
500000455,1005.00 ,100015.00 ,R01,TWD,0.00 
500000456,1005.00 ,100012.00 ,R01,TWD,0.00 
500000457,1001.00 ,1007.00 ,,TWD,0.00 
500000458,1007.00 ,1001.00 ,,TWD,0.00 
500000459,1001.00 ,100171.00 ,R01,USD,0.00 
500000460,1001.00 ,100170.00 ,R01,USD,0.00 
500000461,1001.00 ,100351.00 ,R01,EUR,0.00 
500000462,1001.00 ,100118.00 ,R01,USD,0.00 
500000463,1001.00 ,100027.00 ,R01,USD,0.00 
500000464,1001.00 ,100030.00 ,R01,USD,0.00 
500000465,1001.00 ,100033.00 ,R01,USD,0.00 
500000466,1001.00 ,100154.00 ,R01,EUR,0.00 
500000467,1003.00 ,100179.00 ,R01,USD,0.00 
500000468,1003.00 ,100176.00 ,R01,USD,0.00 
500000469,1005.00 ,100018.00 ,R01,TWD,144230.00 
500000470,1001.00 ,100125.00 ,R01,TWD,94364.00 
500000471,1001.00 ,100137.00 ,R01,TWD,0.00 
500000472,1001.00 ,100137.00 ,R01,TWD,0.00 
500000473,1001.00 ,100137.00 ,R01,TWD,0.00 
500000474,1001.00 ,100133.00 ,R01,TWD,0.00 
500000475,1001.00 ,100133.00 ,R01,TWD,0.00 
500000476,1005.00 ,100018.00 ,R01,TWD,3192.00 
